"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"877","@Saichandkoduru @KoradaRavi3 @kathimahesh @ysjagan @ncbn @INCIndia @JaiTDP @BJP4India @JanaSenaParty @ysjagan will… https://t.co/w9cbFnKFtT",FALSE,0,"Saichandkoduru",2018-02-27 07:19:38,TRUE,"968382964928262144","968385119013822464","178699154","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","siddarthsahu1",0,FALSE,FALSE,NA,NA
"878","RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u",FALSE,0,NA,2018-02-27 07:19:37,FALSE,NA,"968385115800981504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LimbaBablu",323,TRUE,FALSE,NA,NA
"879","@BJP4Karnataka @AmitShah @AmitShahOffice @BJP4India @BSYBJP @PrakashJavdekar @PiyushGoyal @AnanthKumar_BJP… https://t.co/j3mn81ycVf",FALSE,0,"BJP4Karnataka",2018-02-27 07:19:32,TRUE,"967601645772185600","968385092971388928","25123615","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prasannakarnat",0,FALSE,FALSE,NA,NA
"880","RT @SonicSamir: @BJP4India @AmitShah @mlkhattar Govt in #Haryana has failed on all fronts.

#DwarkaExpressway is a key project and he is no…",FALSE,0,NA,2018-02-27 07:19:28,FALSE,NA,"968385077477609472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Virtualfriend11",7,TRUE,FALSE,NA,NA
"881","RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…",FALSE,0,NA,2018-02-27 07:19:24,FALSE,NA,"968385057827246080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhavalBJP1543",192,TRUE,FALSE,NA,NA
"882","@sagarikaghose @Inc @BJP4India He should be pushed behind bars what’s is Nitish government doing",FALSE,1,"sagarikaghose",2018-02-27 07:19:23,FALSE,"968139132588515328","968385053519761408","56312411","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abhineetsingh",0,FALSE,FALSE,NA,NA
"883","RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…",FALSE,0,NA,2018-02-27 07:19:22,FALSE,NA,"968385049291829249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheeshramkhedar",212,TRUE,FALSE,NA,NA
"884","@drlaxmanbjp @ANI @BJP4India @TimesNow
Usage of such language against PM only lowers stature of KCR but not that of… https://t.co/bsxqf7voI9",FALSE,0,"drlaxmanbjp",2018-02-27 07:19:16,TRUE,"968381102317559808","968385027120812033","1565619564","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VidudalaPrasad",0,FALSE,FALSE,NA,NA
"885","RT @BJP4India: We are already the third-largest economy by purchasing power. Very soon, we will become the world's fifth-largest economy by…",FALSE,0,NA,2018-02-27 07:19:07,FALSE,NA,"968384988528988160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bjpbiharpramod",192,TRUE,FALSE,NA,NA
"886","@BJP4India @AmitShah Really True, we need to change the government.",FALSE,0,"BJP4India",2018-02-27 07:19:05,FALSE,"968161121675849728","968384980199133185","207809313","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kamalesha1",0,FALSE,FALSE,NA,NA
"887","RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u",FALSE,0,NA,2018-02-27 07:18:54,FALSE,NA,"968384935009669120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhavalBJP1543",323,TRUE,FALSE,NA,NA
"888","RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…",FALSE,0,NA,2018-02-27 07:18:47,FALSE,NA,"968384905691455488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abhinaybakshi",212,TRUE,FALSE,NA,NA
"889","RT @BJP4India: Shri @AmitShah interacts with leaders of OBC community in Gulbarga, Karnataka. #ShahInKalyanaKarnataka https://t.co/lVfU8n0A…",FALSE,0,NA,2018-02-27 07:18:43,FALSE,NA,"968384887014264832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nagaraj33627928",503,TRUE,FALSE,NA,NA
"890","RT @BJP4India: LIVE: PM Shri @narendramodi addressing the India-Korea Business Summit in Delhi. https://t.co/uFsufwiH6u",FALSE,0,NA,2018-02-27 07:18:41,FALSE,NA,"968384878470488064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","perarivalan13",323,TRUE,FALSE,NA,NA
"891","RT @BJP4India: Watch how Modi government’s initiatives are fulfilling the aspirations of the poor, dalits, women and divyangs by empowering…",FALSE,0,NA,2018-02-27 07:18:38,FALSE,NA,"968384868022448128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Harish07853899",212,TRUE,FALSE,NA,NA
"892","RT @abpnewstv: #Sridevi has been murdered, could be Bollywood-underworld links: @BJP4India leader @Swamy39
https://t.co/4GLwWy5zNy",FALSE,0,NA,2018-02-27 07:18:38,FALSE,NA,"968384867573620737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Subhank25219819",27,TRUE,FALSE,NA,NA
