"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"931","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:16,FALSE,NA,"968397358814838784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","choyyan",358,TRUE,FALSE,NA,NA
"932","RT @INCIndia: The vision of #OneMeghalaya implies a holistic development of all regions of the state. Towards this end, our Govt has laid s…",FALSE,0,NA,2018-02-27 08:08:16,FALSE,NA,"968397355920732160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",304,TRUE,FALSE,NA,NA
"933","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:15,FALSE,NA,"968397353362210816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anandmathews",358,TRUE,FALSE,NA,NA
"934","RT @pankajsuper30: Corruption n Misrule of @INCIndia
.... And Pappu's Scientific Talent of Aloo to Gold factory n Coconut Juice will sure t…",FALSE,0,NA,2018-02-27 08:08:14,FALSE,NA,"968397350078070790",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anjali74287983",53,TRUE,FALSE,NA,NA
"935","RT @INCIndia: Its been 13 days since the #ChhotaModi PNB Scam. In fact, the magnitude of the scam is also expected to have gone up by anoth…",FALSE,0,NA,2018-02-27 08:08:14,FALSE,NA,"968397348543123458",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NeerajCongressi",205,TRUE,FALSE,NA,NA
"936","RT @anuraag_saxena: This arrested accused is here on a poster with #IndiraGandhi, #SoniaGandhi &amp; @OfficeOfRG.
FYI, @INCIndia has STILL not…",FALSE,0,NA,2018-02-27 08:08:13,FALSE,NA,"968397346256994306",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jhaprabhakar",345,TRUE,FALSE,NA,NA
"937","RT @INCIndia: Namami Gange is yet another example of an empty promise made by the Modi Govt. Despite all of PM Modi's empty rhetoric, no si…",FALSE,0,NA,2018-02-27 08:08:13,FALSE,NA,"968397342515671040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",607,TRUE,FALSE,NA,NA
"938","RT @INCIndia: And, as it turns out, the quantum of the #ChhotaModi PNB Scam could go up by another <U+20B9>1323 crores. How much bigger does the s…",FALSE,0,NA,2018-02-27 08:08:12,FALSE,NA,"968397339806203905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sugal1990",264,TRUE,FALSE,NA,NA
"939","RT @ShefVaidya: Wah! This must be the 'Yuva Josh, not Kattar Soch' that @INCIndia keeps talking about!! First that Mohammed Haris Nalapad,…",FALSE,0,NA,2018-02-27 08:08:10,FALSE,NA,"968397331191091200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","meenavyas50",735,TRUE,FALSE,NA,NA
"940","RT @INCIndia: An enthusiastic crowd attends Congress President Rahul Gandhi's public meeting in Saundatti, Karnataka. #JanaAashirwadaYatre…",FALSE,0,NA,2018-02-27 08:08:07,FALSE,NA,"968397317966462976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",550,TRUE,FALSE,NA,NA
"941","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:05,FALSE,NA,"968397312694325248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anuragshankers",358,TRUE,FALSE,NA,NA
"942","RT @INCIndia: Rising LPG prices under the Modi Govt have been a massive burden on common people. As part of #NavaKarnatakaNirmana our Govt…",FALSE,0,NA,2018-02-27 08:08:04,FALSE,NA,"968397306402779136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KunwarNagendra",312,TRUE,FALSE,NA,NA
"943","RT @INCIndia: Its been 13 days since the #ChhotaModi PNB Scam. In fact, the magnitude of the scam is also expected to have gone up by anoth…",FALSE,0,NA,2018-02-27 08:08:03,FALSE,NA,"968397303101837312",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","vanaram7",205,TRUE,FALSE,NA,NA
"944","RT @INCIndia: There seems to be a strange pattern connecting cases involving Amit Shah and judges hearing those cases. What the country wan…",FALSE,0,NA,2018-02-27 08:08:00,FALSE,NA,"968397290305093632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SundarServai",358,TRUE,FALSE,NA,NA
"945","RT @mallikarjun456: @advmajeedmemon @INCIndia 
<ed><U+00A0><U+00BC><ed><U+00B8><U+00B2>A statesman or honest will take d responsibility for his actions but don't take credit4his…",FALSE,0,NA,2018-02-27 08:07:57,FALSE,NA,"968397276350697475",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SaffronKashmir",31,TRUE,FALSE,NA,NA
